ID,UC_CODIGO
ID_0004543441,UC_1
ID_0004543441,UC_2
ID_0004543441,UC_3
ID_0004543441,UC_4
ID_0004543441,UC_5
ID_0007953259,UC_6
ID_0007953259,UC_7
ID_0007953259,UC_8
ID_0007953259,UC_9
ID_0007953259,UC_10
ID_0007953259,UC_11
ID_0007953259,UC_12
ID_0008688879,UC_11
ID_0008688879,UC_10
ID_0008688879,UC_13
ID_0008688879,UC_6
ID_0008688879,UC_14
ID_0009094192,UC_5
ID_0009094192,UC_15
ID_0009805780,UC_16
ID_0009805780,UC_17
ID_0009805780,UC_18
ID_0009805780,UC_9
ID_0009805780,UC_8
ID_0009987220,UC_19
ID_0009987220,UC_20
ID_0009987220,UC_21
ID_0009987220,UC_22
ID_0009987220,UC_23
ID_0009987220,UC_24
ID_0010140995,UC_25
ID_0010140995,UC_26
ID_0010140995,UC_27
ID_0010140995,UC_28
ID_0010140995,UC_10
ID_0010140995,UC_29
ID_0011834095,UC_30
ID_0011834095,UC_31
ID_0011834095,UC_32
ID_0011834095,UC_33
ID_0011834095,UC_34
ID_0012262814,UC_35
ID_0012262814,UC_36
ID_0012262814,UC_37
ID_0012262814,UC_38
ID_0015097307,UC_9
ID_0015097307,UC_7
ID_0015097307,UC_10
ID_0015097307,UC_28
ID_0015603153,UC_39
ID_0015603153,UC_18
ID_0015603153,UC_40
ID_0015603153,UC_41
ID_0015603153,UC_42
ID_0017769061,UC_7
ID_0017769061,UC_34
ID_0017769061,UC_43
ID_0017769061,UC_44
ID_0017769061,UC_45
ID_0017769061,UC_46
ID_0018532297,UC_40
ID_0018532297,UC_18
ID_0018532297,UC_42
ID_0018532297,UC_41
ID_0018532297,UC_47
ID_0020554856,UC_48
ID_0020554856,UC_49
ID_0020554856,UC_50
ID_0020554856,UC_51
ID_0022003643,UC_52
ID_0022003643,UC_53
ID_0022003643,UC_54
ID_0022003643,UC_55
ID_0022003643,UC_56
ID_0024656623,UC_57
ID_0024656623,UC_27
ID_0024656623,UC_58
ID_0024656623,UC_59
ID_0024656623,UC_12
ID_0024738965,UC_60
ID_0024738965,UC_35
ID_0024738965,UC_61
ID_0024738965,UC_62
ID_0024738965,UC_63
ID_0024859732,UC_64
ID_0024859732,UC_28
ID_0024859732,UC_9
ID_0024859732,UC_7
ID_0024859732,UC_65
ID_0024859732,UC_66
ID_0027243664,UC_55
ID_0027243664,UC_5
ID_0027243664,UC_15
ID_0027243664,UC_52
ID_0027243664,UC_67
ID_0027262538,UC_62
ID_0027262538,UC_61
ID_0027262538,UC_60
ID_0027262538,UC_35
ID_0034020287,UC_68
ID_0034020287,UC_69
ID_0034020287,UC_70
ID_0034020287,UC_4
ID_0034020287,UC_5
ID_0034020287,UC_1
ID_0036514671,UC_71
ID_0036514671,UC_72
ID_0036514671,UC_73
ID_0036514671,UC_74
ID_0036514671,UC_75
ID_0038734670,UC_13
ID_0038734670,UC_14
ID_0038734670,UC_10
ID_0039053972,UC_76
ID_0039053972,UC_41
ID_0039053972,UC_40
ID_0039053972,UC_77
ID_0039053972,UC_78
ID_0039191160,UC_62
ID_0039191160,UC_61
ID_0039191160,UC_60
ID_0039191160,UC_35
ID_0039420381,UC_79
ID_0039420381,UC_80
ID_0039420381,UC_81
ID_0039420381,UC_82
ID_0039420381,UC_83
ID_0039929410,UC_56
ID_0039929410,UC_27
ID_0039929410,UC_13
ID_0039929410,UC_11
ID_0039929410,UC_6
ID_0044009163,UC_9
ID_0044009163,UC_37
ID_0044009163,UC_63
ID_0044009163,UC_36
ID_0047578466,UC_35
ID_0047578466,UC_13
ID_0047578466,UC_37
ID_0047578466,UC_63
ID_0048112324,UC_84
ID_0048112324,UC_85
ID_0048112324,UC_86
ID_0048112324,UC_87
ID_0048410458,UC_78
ID_0048410458,UC_40
ID_0048410458,UC_41
ID_0048753234,UC_67
ID_0048753234,UC_55
ID_0048753234,UC_15
ID_0048753234,UC_5
ID_0048753234,UC_52
ID_0049794966,UC_65
ID_0049794966,UC_9
ID_0049794966,UC_8
ID_0049794966,UC_64
ID_0049794966,UC_28
ID_0050184769,UC_77
ID_0050184769,UC_4
ID_0050184769,UC_88
ID_0050184769,UC_78
ID_0050184769,UC_76
ID_0052987606,UC_11
ID_0052987606,UC_10
ID_0052987606,UC_13
ID_0052987606,UC_6
ID_0052987606,UC_14
ID_0054160856,UC_25
ID_0054160856,UC_26
ID_0054160856,UC_89
ID_0054160856,UC_90
ID_0058497876,UC_91
ID_0058497876,UC_28
ID_0058497876,UC_9
ID_0058497876,UC_64
ID_0058497876,UC_66
ID_0058497876,UC_65
ID_0061762272,UC_82
ID_0061762272,UC_81
ID_0061762272,UC_80
ID_0061762272,UC_64
ID_0061762272,UC_9
ID_0062219959,UC_22
ID_0062219959,UC_19
ID_0062219959,UC_20
ID_0062219959,UC_21
ID_0062219959,UC_23
ID_0062219959,UC_24
ID_0066439214,UC_92
ID_0066439214,UC_93
ID_0066439214,UC_94
ID_0066439214,UC_95
ID_0066439214,UC_96
ID_0066439214,UC_97
ID_0068448473,UC_98
ID_0068448473,UC_28
ID_0068448473,UC_7
ID_0068448473,UC_65
ID_0068448473,UC_66
ID_0068448473,UC_99
ID_0069225382,UC_4
ID_0069225382,UC_25
ID_0069225382,UC_26
ID_0069225382,UC_5
ID_0069225382,UC_32
ID_0069225382,UC_89
ID_0071602569,UC_100
ID_0071602569,UC_101
ID_0071602569,UC_102
ID_0071602569,UC_103
ID_0071602569,UC_104
ID_0072358629,UC_8
ID_0072358629,UC_64
ID_0072358629,UC_13
ID_0072358629,UC_27
ID_0072358629,UC_105
ID_0072533730,UC_62
ID_0072533730,UC_60
ID_0072533730,UC_35
ID_0072533730,UC_61
ID_0074221509,UC_54
ID_0074221509,UC_50
ID_0074221509,UC_24
ID_0074221509,UC_23
ID_0074221509,UC_20
ID_0074221509,UC_19
ID_0074221509,UC_53
ID_0076332882,UC_106
ID_0076332882,UC_107
ID_0076332882,UC_108
ID_0076332882,UC_109
ID_0076332882,UC_110
ID_0076332882,UC_94
ID_0076845162,UC_61
ID_0076845162,UC_35
ID_0076845162,UC_62
ID_0076845162,UC_60
ID_0077454781,UC_110
ID_0077454781,UC_109
ID_0077454781,UC_15
ID_0077454781,UC_94
ID_0077454781,UC_108
ID_0077454781,UC_107
